job_id,arrival_min,start_min,finish_min,wait_min,runtime_s,energy_proxy,emissions_index,sla_miss,carbon_at_start,deferrals,class,deadline_min
60,199.29860459961594,200.25730162898856,200.29860459961594,0.9586970293726154,2.478178237642839,7016.123908911882,4018597.4901699163,False,572.7660375361235,1,normal,202.29860459961594
61,201.528614348377,201.528614348377,201.56930618012052,0.0,2.441509904611357,7016.122075495231,3682959.047173089,False,524.9280168650897,0,priority,203.528614348377
62,202.38500797673944,203.37022517017516,203.38500797673944,0.9852171934357159,0.8869683938565067,3008.044348419693,1459887.3164976076,False,485.3277237300622,1,normal,205.38500797673944
63,203.58584033666497,204.54458692893868,204.58584033666497,0.9587465922737124,2.4752044635778923,7016.123760223179,4060735.235839907,False,578.7718938000514,1,normal,206.58584033666497
64,204.31261362719025,205.2956728191657,205.31261362719025,0.9830591919754568,1.0164484814730101,4806.050822424074,2796655.190007451,False,581.9029580292444,1,normal,207.31261362719025
65,205.798612482971,206.7854946267589,206.798612482971,0.9868821437878808,0.7870713727263039,3008.039353568636,1596237.2196370985,False,530.6570267251911,1,normal,208.798612482971
66,208.6744748183647,209.6564885909657,209.6744748183647,0.9820137726009932,1.079173643940106,4806.053958682197,2551895.368517075,False,530.9751805651379,1,normal,211.6744748183647
67,208.95319730771573,208.95319730771573,208.96596427520495,0.0,0.7660180493540919,1812.0383009024677,962147.3640126333,False,530.9751805651379,0,priority,210.95319730771573
68,212.35680739298013,213.3146129324611,213.35680739298013,0.9578055394809724,2.5316676311412456,7016.126583381557,3637680.716364597,False,518.4742141028115,1,normal,215.35680739298013
69,220.6335762575728,220.6335762575728,220.6434066660056,0.0,0.5898245059676674,1812.0294912252984,990941.1637880107,False,546.8681214001291,0,priority,222.6335762575728
70,223.10961935937888,224.09290933523366,224.10961935937888,0.983289975854774,1.0026014487129944,4806.050130072435,2773114.8918344113,False,577.0049867941381,1,normal,226.10961935937888
71,233.68572272104961,234.6751529825573,234.68572272104961,0.9894302615076924,0.6341843095388267,1016.0317092154769,622767.0628689273,False,612.9405777599139,1,normal,236.68572272104961
72,235.1293996634903,236.1168963621771,236.1293996634903,0.9874966986868117,0.7501980787921084,1812.0375099039395,909414.6158013837,False,501.8740565969818,1,normal,238.1293996634903
73,238.78952729495,239.77670888415392,239.78952729495,0.9871815892039137,0.76910464776462,3008.038455232388,1277199.825163318,False,424.59557754046307,1,normal,241.78952729495
